patent no;patent title;chemical type 1
US2005238675;WATER-SOLUBLE FORMULATIONS OF FAT SOLUBLE VITAMINS AND PHARMACEUTICAL AGENTS AND THEIR APPLICATIONS;Coenzyme Q10
US2002146400;COMPOSITION FOR REDUCING PLASMA TRIGLYCERIDES, PLATELET AGGREGATION, AND OXIDATIVE CAPACITY;Coenzyme Q10
US2006018983;COMPOSITION CONTAINING GREEN-YELLOW VEGETABLES AND LIGHT-COLORED VEGETABLES;Coenzyme Q10
US2002018772;SUPER ABSORPTION COENZYME Q10;Coenzyme Q10
US10098849;ANTI-RADICAL AGENTS;Coenzyme Q10
US2006018958;COENZYME Q10 FORMULATION AND PROCESS METHODOLOGY FOR SOFT GEL CAPSULES MANUFACTURING;Coenzyme Q10
US2002098253;ORAL COMPOSITIONS CONTAINING LOTUS;Coenzyme Q10
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Coenzyme Q10
US2006188549;ANIMAL FEED COMPOSITIONS CAPABLE OF REDUCING THE INCIDENCE OF FESCUE TOXICOSIS IN MAMMALS;Coenzyme Q10
US2003180719;HUMAN CELLULAR PROTEIN GASTROINTESTINAL GLUTATHIONE PEROXIDASE AS TARGET FOR MEDICAL INTERVENTION AGAINST HEPATITIS C VIRUS INFECTIONS;Coenzyme Q10
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Coenzyme Q10
US2010209497;FORMULATIONS FOR TREATING HUMAN AND ANIMAL DISEASES;Coenzyme Q10
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Coenzyme Q10
US6136859;Pharmaceutical formulation for treating liver disorders;Coenzyme Q10
US2011008308;Composition for hair, skin, nails;Coenzyme Q10
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Coenzyme Q10
US5648377;FORMULATIONS CONTAINING CAROTENOIDS AN PROCAROTENOIDS COMBINED WITH POLYPHENOLS IN THE PREVENTION OF THE DAMAGES DUE TO AN ABNORMAL PRODUCTION OF FREE RADICALS;Coenzyme Q10
US5973224;DIETETICAL COMBINATION PREPARATIONS;Coenzyme Q10
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Coenzyme Q10
US2007021497;VITAMIN E COMPOSITIONS;Coenzyme Q10
US2003138520;CONFECTIONERY PRODUCTS CONTAINING ACTIVE INGREDIENTS;Coenzyme Q10
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Coenzyme Q10
US2018207277;STABLE FAT-SOLUBLE ACTIVE INGREDIENT COMPOSITION, MICROCAPSULE AND PROCESS OF PREPARATION AND USE THEREOF;Coenzyme Q10
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Coenzyme Q10
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Coenzyme Q10
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Coenzyme Q10
US6086910;FOOD SUPPLEMENTS;Coenzyme Q10
US2011008308;Composition for hair, skin, nails;Vitamin C
US2003180719;HUMAN CELLULAR PROTEIN GASTROINTESTINAL GLUTATHIONE PEROXIDASE AS TARGET FOR MEDICAL INTERVENTION AGAINST HEPATITIS C VIRUS INFECTIONS;Vitamin C
US2016250128;TARGETED CAPSULES FOR THE DELIVERY OF SKIN WHITENING AGENTS IN THE SKIN;Vitamin C
US2013101569;HAIR GROWTH STIMULANT;Vitamin C
US2016022733;NOVEL FORMULA OF IRON BASED NANOCOMPOSITES FOR RAPID AND EFFICIENT TREATMENT OF IRON DEFICIENCY ANEMIA;Vitamin C
US2005058704;CAPSULE CONTAINING ACTIVE SUBSTANCE PELLETS;Vitamin C
US5002780;MAGNESIUM SALT OF A FATTY ACID ACYL LACTYLATE;Vitamin C
US2012039967;LOW RUB-OFF COMPOSITIONS;Vitamin C
US2008193556;PKA BUFFERED VITAMIN C COMPOSITION AND METHOD;Vitamin C
US2007082064;NUTRITIONAL OR DIETARY SUPPLEMENT FOR THE TREATMENT OF MACULAR DEGENERATION;Vitamin C
US5520991;Cosmetic preparations for revitalizing the skin;Vitamin C
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Vitamin C
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Vitamin C
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Vitamin C
US2008233182;ORGANIC COMPOUNDS;Vitamin C
US2002034546;PHARMACEUTICAL COMPOSITION CONTAINING A COMBINATION OF A STATIN AND ASPIRIN AND METHOD;Vitamin C
US2011268813;PREVENTING LIVER INJURY AND IMPROVING LIVER FUNCTION EFFECTS OF ENA-ACTIMINERAL RESOURCES;Vitamin C
US5587149;TOPICAL APPLICATION EMULSIONS;Vitamin C
US2015224035;NANOPARTICLE BASED COSMETIC COMPOSITION;Vitamin C
US2008287662;Balanites Aegyptiaca Saponins and Uses Thereof;Vitamin C
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Vitamin C
US6509035;ORAL PREPARATION OF COENZYME A USEFUL FOR LOWERING BLOOD LIPID AND A METHOD PRODUCING FOR SAME;Vitamin C
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Vitamin C
US2008008742;CHEWY PRODUCTS AND METHODS FOR MAKING THE SAME;Vitamin C
US3475535;METHOD OF ANALEPTIC TREATMENT WITH 1,4-ENDOMETHYLENE - DELTA**5 - CYCLOHEXENE - 2,3-TRANS - DICARBOXYLIC ACID BIS - DIETHYL-AMIDE;Vitamin C
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Vitamin C
US2005003070;SHELF STABLE VITAMIN C IN OATMEAL PRODUCTS;Vitamin C
US6726939;Composition and method for reducing blood pressure, alleviating or eliminating angina pectoris and headaches, and enhancing skin and hair;Vitamin C
US5753696;Compositions and methods for enhancement of dehydroepiandrosterone;Vitamin C
US2005249820;NUTRITIONAL SUPPLEMENT FOR THE TREATMENT AND PREVENTION OF MACULAR DEGENERATION;Vitamin C
US2006292217;NUTRITIONAL SUPPLEMENT AND SOFT GELATIN CAPSULE DELIVERY SYSTEM;Vitamin C
US2004009235;NANOMETER GRADE HYDROXYAPATITE COMPOSITION FOR REPLENISHING CALCIUM;Vitamin C
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin C
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin C
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Vitamin C
US2009011012;FATTY ACID COMPOSITIONS AND METHODS OF USE;Vitamin C
US2004047826;FRAGRANCE FORMULATION CONTAINING PEARLESCENT SILICONE OIL BEADS;Vitamin C
US2007224215;Brown seaweed extracts in capsules consisting of broad-spectrum freeze dried antioxidant concentrates, Fucoidan, crystalloidals, Mangosteen, hyaluronic acid, alpha lipoic acid, green tea extract, vitamin C, and black pepper extract with delivery systems for utilization of nutrients;Vitamin C
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Vitamin C
US6989150;Cosmetic preparation of active substances with a synergistically increased radical protection factor;Vitamin C
US2009239945;ORAL COMPOSITION WITH AN ANTIAGEING EFFECT ON THE SKIN;Vitamin C
US2014141125;DAIRY PRODUCT CONTAINING FUNCTIONAL ALGINIC ACID BEADS, AND PREPARATION METHOD THEREOF;Vitamin C
US2009297569;ORAL HYGIENE TABLETS AND CAPSULES FOR DIRECT ORAL DELIVERY OF ACTIVE INGREDIENTS;Vitamin C
US2011021626;ENCAPSULATION OF VITAMIN C INTO WATER SOLUBLE DENDRIMERS;Vitamin C
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin C
US6426080;COSMETIC PREPARATION OF ACTIVE SUBSTANCES WITH HIGH PROTECTION FACTOR AGAINST FREE RADICALS;Vitamin C
US2003194428;PROCESS FOR ENCAPSULATING MULTI-PHASE, MULTI-COMPARTMENT CAPSULES;Vitamin C
US2016008241;POWDERED COMPOSITION FOR USE IN THE PREPARATION OF WHITENING COSMETIC COMPOSITIONS;Vitamin C
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin C
US3767825;METHOD OF COATING FOOD PARTICLES WITH A BLEND OF VITAMINS A AND C;Vitamin C
US10212957;METHOD FOR PREPARING OIL-DISPERSIBLE CAROTENOID PREPARATION;Vitamin C
US3565559;PROCESS FOR MAKING MICROCAPSULES;Vitamin C
US2010291206;ORAL DOSAGE FORM;Vitamin C
US2009074860;NUTRITIONAL BEVERAGE WITH SKIN IMPROVEMENT AIDS;Vitamin C
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Vitamin C
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin C
US2008057111;HERBAL COMPOSITION FOR FLU PREVENTION AND TREATMENT;Vitamin C
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Vitamin C
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin C
US6451351;METHOD FOR PREPARING GEL WITH CALCIUM SALTS OF ORGANIC ACIDS;Vitamin C
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin C
US5973224;DIETETICAL COMBINATION PREPARATIONS;Vitamin C
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin C
US5846569;COLOSTRUM SUPPLEMENT;Vitamin C
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Vitamin C
US2003199576;STABILIZED PURE VITAMIN C IN POWDER-TO-LIQUID FORM USING MULTI-ENCAPSULATION METHOD;Vitamin C
US2015064244;KONJAC FORMULATION AND METHOD FOR PREPARING THE SAME;Vitamin C
US2007161634;COMPOUNDS AS CCR5 ANTAGONISTS;Vitamin C
US2005158396;ANTIOXIDATIVE PREPARATIONS;Vitamin C
US2010159029;COMPOSITION AND NUTRITIONAL SUPPLEMENTS FOR IMPROVING OCULAR HEALTH AND REDUCING OCULAR INFLAMMATORY RESPONSE;Vitamin C
US2003073738;NONTOXIC POTENTIATION/SENSITIZATION OF CANCER THERAPY BY SUPPLEMENTARY TREATMENT WITH COMBINED VITAMINS C AND K3;Vitamin C
US2011091522;EDIBLE CHEW PILL JACKET;Vitamin C
US2004224032;COMPOSITION COMPRISING MICRO-ENCAPSULATED IRON;Vitamin C
US2003148992;SUSTAINED RELEASE VITAMIN COMPOSITION;Vitamin C
US2002095000;TREATMENT OF DRY EYE SYNDROME;Vitamin C
US4833154;Natural sleeping pill to prevent and alleviate insomnia;Vitamin C
US2006051425;METHOD OF MICROENCAPSULATION;Vitamin C
US2006078632;COMPOSITION COMPRISING BAMBOO EXTRACT AND THE COMPOUNDS ISOLATED THEREFROM SHOWING TREATING AND PREVENTING ACTIVITY FOR INFLAMMATORY AND BLOOD CIRCULATION DISEASE;Vitamin C
US2003003116;SKIN CARE AGENT AND METHOD OF SKIN CARE;Vitamin C
US2002146400;COMPOSITION FOR REDUCING PLASMA TRIGLYCERIDES, PLATELET AGGREGATION, AND OXIDATIVE CAPACITY;Vitamin C
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin C
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin C
US6136859;Pharmaceutical formulation for treating liver disorders;Vitamin C
US5126328;PROCESS FOR CROSSLINKING GELATIN;Vitamin C
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Vitamin C
US2018071352;COMPOSITION AND METHODS OF USE FOR IMMUNE SYSTEM SUPPORT;Vitamin C
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin C
US6228387;Integrated comprehensive hemorrhoid treatment compositions and regimen;Vitamin C
US2002106339;COMPOSITIONS AND METHODS USING DIRECT MMP INHIBITORS FOR INHIBITING PHOTOAGING OF SKIN;Vitamin C
US4681756;Prevention of N-nitroso compound formation in vivo;Vitamin C
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin C
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin C
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Vitamin C
US2010316769;DIETARY SUPPLEMENTS CONTAINING PROBIOTICS;Vitamin C
US6086910;FOOD SUPPLEMENTS;Vitamin C
US6090414;METHOD AND COMPOSITION TO REDUCE CANCER INCIDENCE;Vitamin C
US3833739;VITAMIN ENRICHED POTATO FLAKES;Vitamin C
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Vitamin C
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin C
US5916591;SOFT GELATIN CAPSULES;Vitamin C
US10098849;ANTI-RADICAL AGENTS;Vitamin C
US2010028459;NUTRITIONAL SUPPLEMENT COMPOSITION FOR TREATMENT OF OCULAR DISEASES;Vitamin C
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin C
US2006182798;COMPOSITION FOR GELATIN COATING, GELATIN COATING, AND PREPARATION USING THE SAME;Vitamin C
US2006188549;ANIMAL FEED COMPOSITIONS CAPABLE OF REDUCING THE INCIDENCE OF FESCUE TOXICOSIS IN MAMMALS;Vitamin C
US2011160137;COMPOSITION CONTAINING COLLAGEN PEPTIDE FOR IMPROVING SKIN CARE;Vitamin C
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Vitamin C
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;amino
US2010203106;METHOD FOR ENCAPSULATING AMINO ACIDS, VITAMINS AND MEDICATIONS AND METHOD FOR INCREASING RUMEN BYPASS OF AMINO ACIDS, VITAMINS AND MEDICATIONS;amino
US2015056297;NUTRACEUTICAL COMBINATION FOR PREVENTION AND TREATMENT OF TYPE 2 DIABETES;Vitamin B12
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin B12
US6159502;ORAL DELIVERY SYSTEMS FOR MICROPARTICLES;Vitamin B12
US2018369306;COMPOSITIONS AND METHODS FOR TREATING MEMORY LOSS AND DIMINISHED COGNITION;Vitamin B12
US5126328;PROCESS FOR CROSSLINKING GELATIN;Vitamin B12
US2008254098;NEURAL TUBE BIRTH DEFECT REDUCTION WITH FOLIC ACID DELIVERY IN CATAMENIAL HYGIENE PRODUCTS;Vitamin B12
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin B12
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Vitamin B12
US6156545;BIOSYNTHESIS METHOD ENABLING THE PREPARATION OF COBALAMINS;Vitamin B12
US3786123;METHOD FOR STABILIZING AND PRESERVING NUTRIENTS AND PRODUCTS;Vitamin B12
US2006153910;LOWERING BLOOD GLUCOSE, UREA, CHOLESTEROL, TRIGLYCERIDES AND NORMALIZING HOMOCYSTEINE LEVELS BY DIETARY ADDITION OF SELECTED ESSENTIAL AMINO ACIDS AND THREE VITAMINS;Vitamin B12
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Vitamin B12
US2009137523;COMPOSITIONS FOR EXTERNAL APPLICATION, CONTAINING ADENOSYL COBALAMIN FOR IMPROVEMENT OF SKIN DISEASES;Vitamin B12
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Vitamin B12
US2008039385;NEUBLASTIN VARIANTS;Vitamin B12
US3178444;Certain (5-nitro-2-thiazolyl)-urea compounds;Vitamin B12
US2002155103;ACTIVATED CHARCOAL BASED COMPOSITION AND METHOD FOR REDUCING HANGOVER SYMPTOMPS ASSOCIATED WITH THE CONSUMPTION OF ALCOHOL CONTAINING BEVERAGES;Vitamin B12
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Vitamin B12
US2009074860;NUTRITIONAL BEVERAGE WITH SKIN IMPROVEMENT AIDS;Vitamin B12
US2011008308;Composition for hair, skin, nails;Vitamin B12
US4666850;MICROBIAL PATHOGEN DETECTING SYSTEM AND PROCESS;Vitamin B12
US2005271754;Composition for prevention or treatment of an alcohol hangover;Vitamin B12
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Vitamin B12
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Vitamin B12
US2013316004;COMPOSITIONS AND METHODS FOR STABILIZING SUSCEPTIBLE COMPOUNDS;Vitamin B12
US2013101569;HAIR GROWTH STIMULANT;Vitamin B12
US6726939;Composition and method for reducing blood pressure, alleviating or eliminating angina pectoris and headaches, and enhancing skin and hair;Vitamin B12
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Vitamin B12
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin B12
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Vitamin B12
US2017348249;CALCIFEDIOL SOFT CAPSULES;Vitamin B12
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin B12
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin B12
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Vitamin B12
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Vitamin B12
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin B12
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin B12
US2011059171;ORAL GALENIC FORMULATION INCLUDING KETOROLAC AND B-COMPLEX VITAMINS, IN WHICH VITAMIN B6 IS IN AN OUTER LAYER SEPARATED FROM THE REST OF THE ACTIVE PRINCIPLES;Vitamin B12
US2003148992;SUSTAINED RELEASE VITAMIN COMPOSITION;Vitamin B12
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Vitamin B12
US2012231069;TARGETED NANOCARRIER SYSTEMS FOR DELIVERY OF ACTIVES ACROSS BIOLOGICAL MEMBRANES;Vitamin B12
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Vitamin B12
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Vitamin B12
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin B12
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin B12
US3860733;MICROENCAPSULATED PRODUCT;Vitamin B12
US5520991;Cosmetic preparations for revitalizing the skin;Vitamin B12
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin B12
US5916591;SOFT GELATIN CAPSULES;Vitamin B12
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin B12
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Pyridoxine
US6051587;Treatment of iatrogenic and age-related hypertension and pharmaceutical compositions useful therein;Pyridoxine
US2008213246;SUPPLEMENTS FOR PAIN MANAGEMENT;Pyridoxine
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Pyridoxine
US2010203106;METHOD FOR ENCAPSULATING AMINO ACIDS, VITAMINS AND MEDICATIONS AND METHOD FOR INCREASING RUMEN BYPASS OF AMINO ACIDS, VITAMINS AND MEDICATIONS;Pyridoxine
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Pyridoxine
US3833739;VITAMIN ENRICHED POTATO FLAKES;Pyridoxine
US2002004069;Discoloration-resistant vitamin composition;Pyridoxine
US2519487;MULTIVITAMIN PREPARATION;Pyridoxine
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Pyridoxine
US3627774;PYRIDOXINE PYRIDOXAMINE AND PYRIDOXAL FLUFENAMATE SALTS;Pyridoxine
US2007082064;NUTRITIONAL OR DIETARY SUPPLEMENT FOR THE TREATMENT OF MACULAR DEGENERATION;Pyridoxine
US4022883;COMPOSITION FOR ALLEVIATION OF UREMIC SYMPTOMS AND METHOD FOR ITS PREPARATION;Pyridoxine
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Pyridoxine
US6365181;THIXATROPIC GELATIN CARRIER COMPOSITION;Pyridoxine
US2008057113;PHARMACEUTICAL ANTI-HERPETIC COMPOSITION, METHOD FOR PRODUCING A DOSAGE FORM BASED THEREON AND METHOD FOR THE USE THEREOF;Pyridoxine
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Pyridoxine
US5126328;PROCESS FOR CROSSLINKING GELATIN;Pyridoxine
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Pyridoxine
US3160564;MULTI-VITAMIN COMPOSITION CONTAINING PANTOTHENAMIDE;Pyridoxine
US3080292;STABLE PLEASANT-TASTING VITAMIN B CONTAINING BEADLETS;Pyridoxine
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Pyridoxine
US2011059171;ORAL GALENIC FORMULATION INCLUDING KETOROLAC AND B-COMPLEX VITAMINS, IN WHICH VITAMIN B6 IS IN AN OUTER LAYER SEPARATED FROM THE REST OF THE ACTIVE PRINCIPLES;Pyridoxine
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Pyridoxine
US2011250298;COMPOSITION TO HELP PROTECT A USER AGAINST LIVER DAMAGE FROM ALCOHOL CONSUMPTION;Pyridoxine
US2007141096;ENCAPSULATION OF SENSITIVE LIQUID COMPONENTS INTO A MATRIX TO OBTAIN DISCRETE SHELF-STABLE PARTICLES;Folinic acid
US2010158984;Encapsulates;Fatty Oils
US2006051425;METHOD OF MICROENCAPSULATION;Fatty Oils
US6325859;PROCESS FOR PREPARING BEADS AS FOOD OR TOBACCO ADDITIVE;Fatty Oils
US2003193102;ENCAPSULATED AGGLOMERATION OF MICROCAPSULES AND METHOD FOR THE PREPARATION THEREOF;Fatty Oils
US2015125498;NEW PARTICLE STABILIZED EMULSIONS AND FOAMS;Fatty Oils
US2011014288;MICROCAPSULES COMPRISING A FAT-SOLUBLE ACTIVE SUBSTANCE;Fatty Oils
US2010310726;NOVEL PREPARATION OF AN ENTERIC RELEASE SYSTEM;Fatty Oils
US2003185960;ENCAPSULATION OF FOOD INGREDIENTS;Fatty Oils
US2014272011;ENCAPSULATION COMPOSITIONS COMPRISING OF SPICES, HERBS, FRUIT, AND VEGETABLE POWDERS;Fatty Oils
US4389419;Vitamin encapsulation;Fatty Oils
US4230687;ENCAPSULATION OF ACTIVE AGENTS AS MICRODISPERSIONS IN HOMOGENEOUS NATURAL POLYMERIC MATRICES;Fatty Oils
US2851786;METHOD FOR DRYING GELATING CAPSULES;Fatty Oils
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Fatty Oils
US2010159029;COMPOSITION AND NUTRITIONAL SUPPLEMENTS FOR IMPROVING OCULAR HEALTH AND REDUCING OCULAR INFLAMMATORY RESPONSE;Fatty Oils
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Fatty Oils
US5874105;Lipid vesicles formed with alkylammonium fatty acid salts;Glucose
US4217344;COMPOSITIONS CONTAINING AQUEOUS DISPERSIONS OF LIPID SPHERES;Glucose
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Odour
US5300302;PHARMACEUTICAL COMPOSITION IN GEL FORM IN A DISPENSING PACKAGE;Odour
US2013052252;HARD COATED CONFECTIONARY HAVING A CONSUMABLE SOFT CHEWING CORE WITH A HEAT SENSITIVE PARTICULATE ACTIVE AND METHOD FOR MAKING SAME;Odour
US2015125498;NEW PARTICLE STABILIZED EMULSIONS AND FOAMS;Odour
US3111708;CAPSULE MANUFACTURE;Odour
US6500463;Encapsulation of sensitive components into a matrix to obtain discrete shelf-stable particles;Odour
US2008035569;WATER TREATMENT DEVICE AND METHOD THEREFOR;Odour
US2007124836;METHODS FOR GENETIC CONTROL OF INSECT INFESTATIONS IN PLANTS AND COMPOSITIONS THEREOF;Odour
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Odour
US4670247;PROCESS FOR PREPARING FAT-SOLUBLE VITAMIN ACTIVE BEADLETS;Odour
US2005271705;RETINOID-CONTAINING SUSTAINED RELEASE INTRAOCULAR DRUG DELIVERY SYSTEM AND RELATED METHODS;Odour
US4182778;ENCAPSULATION OF VITAMIN AND MINERAL NUTRIENTS;Odour
US2911672;PROCESS AND APPARATUS FOR THE MANUFACTURE OF SEAMLESS FILLED CAPSULES;Odour
US2008175904;PARTICULATE COMPRISING A CALCIUM-CONTAINING COMPOUND AND A SUGAR ALCOHOL;Odour
US3274203;1-CARBAMYL AND THIOCARBAMYL-3-AMINO-4-NONSUBSTITUTED AND SUBSTITUTED PYRAZOLES;corn
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Biotin
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Biotin
US2002004069;Discoloration-resistant vitamin composition;Biotin
US2007141133;GLUTATHIONE BASED DELIVERY SYSTEM;Biotin
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Biotin
